,user_id,rec
0,1,"[1082185, 1029743, 1102067, 899624, 901062]"
1,6,"[1082185, 5570882, 845208, 8357613, 1029743]"
2,7,"[1082185, 1126899, 5592610, 1106523, 957013]"
3,8,"[1082185, 949965, 5591083, 1068719, 1044078]"
4,9,"[1082185, 1029743, 1056005, 947858, 1106523]"
5,13,"[1082185, 1068719, 979707, 10150194, 1029743]"
6,14,"[1127758, 1135552, 5582712, 1051211, 1029743]"
7,15,"[976199, 1082185, 1029743, 1014509, 845208]"
8,16,"[1106523, 1082185, 933835, 1014948, 1126899]"
9,17,"[1082185, 978906, 6533362, 845208, 1106523]"
10,18,"[1082185, 1029743, 951412, 835278, 1068719]"
11,19,"[1082185, 899624, 1029743, 865456, 965766]"
12,20,"[1082185, 894360, 1029743, 1068719, 929018]"
13,22,"[1082185, 1005274, 991874, 12949855, 837304]"
14,23,"[1051468, 965530, 1082185, 1102067, 1079987]"
15,24,"[1028995, 986912, 983584, 1008814, 1016800]"
16,25,"[929018, 1029743, 866211, 1082185, 5568378]"
17,26,"[9296919, 1050851, 1082185, 896862, 940766]"
18,27,"[944486, 887503, 1102416, 910473, 1082185]"
19,28,"[1055155, 951412, 854900, 6534030, 940947]"
20,29,"[886395, 872137, 1029743, 899624, 1082185]"
21,30,"[6534480, 1106523, 1082185, 1022254, 1029743]"
22,31,"[1082185, 1068719, 866211, 1001412, 981086]"
23,32,"[1003649, 1029743, 901062, 1082185, 1106523]"
24,33,"[5590613, 5572738, 5590695, 871756, 1106523]"
25,34,"[1106523, 1029743, 1126899, 965530, 1070820]"
26,35,"[6464165, 1029743, 1106523, 1082185, 1044078]"
27,36,"[12263692, 8276172, 970747, 1029743, 851287]"
28,37,"[916990, 1097001, 1067695, 1029743, 1082185]"
29,39,"[1082185, 923789, 1127716, 1000050, 1130581]"
30,40,"[1082185, 951412, 955431, 1067749, 7025250]"
31,41,"[1082185, 5567502, 913210, 1029743, 1068719]"
32,42,"[1082185, 1031087, 1060673, 1022254, 1029743]"
33,43,"[1082185, 1070820, 1106523, 1068719, 1044078]"
34,46,"[1082185, 1029743, 8090545, 865528, 894447]"
35,47,"[883932, 1082185, 1106523, 1068719, 1051516]"
36,49,"[1110218, 1074333, 1110111, 826666, 5569471]"
37,52,"[1082185, 1068719, 1106523, 880427, 979707]"
38,53,"[939546, 6034857, 5569471, 1082185, 854405]"
39,55,"[1082185, 1106523, 1029743, 1098844, 1068719]"
40,56,"[1082185, 1055504, 940947, 8090537, 1138443]"
41,57,"[986912, 7139529, 1082185, 1051516, 12302069]"
42,58,"[1082185, 1068719, 1005274, 915493, 985999]"
43,59,"[1029743, 1082185, 1106523, 1126899, 1004906]"
44,63,"[1029743, 1106523, 1082185, 1122358, 1070820]"
45,64,"[846823, 949023, 1082185, 1013928, 1025581]"
46,65,"[7155863, 1029743, 1082185, 1011457, 1106523]"
47,67,"[1082185, 1029743, 1068719, 1106523, 899624]"
48,68,"[1106523, 1101010, 1137775, 1082185, 957951]"
49,69,"[1082185, 1055504, 910673, 1138443, 1068719]"
50,70,"[1029743, 1106523, 1126899, 986912, 854852]"
51,71,"[1056509, 9836106, 1082185, 1029743, 12302069]"
52,72,"[1082185, 978906, 979707, 8019681, 5570048]"
53,74,"[1082185, 1106523, 1029743, 845208, 986912]"
54,75,"[1126899, 1106523, 1070820, 901062, 1082185]"
55,76,"[965530, 1126899, 1106523, 1029743, 1070820]"
56,77,"[1082185, 1029743, 983584, 919534, 880150]"
57,78,"[5570408, 952972, 1067779, 1082185, 835098]"
58,79,"[1082185, 1068719, 1105488, 1106523, 1004906]"
59,80,"[1037337, 1082185, 971922, 835098, 866211]"
60,81,"[971922, 949965, 1029743, 1082185, 1006184]"
61,82,"[847573, 849202, 1082185, 883202, 1029743]"
62,83,"[1069312, 1106523, 1029743, 1004906, 854852]"
63,84,"[5569374, 1096635, 12731432, 879504, 944139]"
64,85,"[1029743, 1082185, 1106523, 1056509, 986912]"
65,86,"[1082185, 820301, 9707240, 923169, 13506200]"
66,87,"[1029743, 1082185, 979707, 1106523, 916122]"
